,Ticker,Sustainalytics Score,Sector,MSCI ESG 2017,MSCI ESG 2018,MSCI ESG 2019,MSCI ESG 2020,MSCI ESG 2021,2019-2021 Returns,2017 Returns,2018 Returns,2019 Returns,2020 Returns,2021 Returns,2019-2021 standard deviation,2017 standard deviation,2018 standard deviation,2019 standard deviation,2020 standard deviation,2021 standard deviation
0,AAPL,16.9,Tech,4.0,4.0,4.0,3.0,3.0,3.383485394627441,1.4569952088191205,0.9157088733501866,1.859485798513833,1.7671383352084853,1.0322231516184268,31.792638006763934,3.655297803222715,5.148465132436107,8.634744500619938,21.809814027487104,6.292745321511095
1,MSFT,14.6,Tech,6.0,6.0,6.0,6.0,6.0,2.5174049707707127,1.3668903549484877,1.1817336044350084,1.5595331553091023,1.3847590893441932,1.1693692622706064,43.32927529090612,7.0013465443354095,7.917806840634414,14.900504643657934,22.9955623791381,13.227958164808665
2,V,17.4,Tech,4.0,4.0,4.0,4.0,4.0,1.756319591966291,1.4342137942524076,1.1522137802813035,1.413632233560956,1.1444642178513147,1.0720518131759675,22.47785546292586,9.626278131078772,9.423176688368182,15.227698676713402,15.482330842020543,9.121569205695227
3,NVDA,13.3,Tech,5.0,6.0,6.0,6.0,6.0,4.485905166996479,1.896872815879252,0.6696764279539477,1.7273528185521425,2.176649594580894,1.1649636499057547,159.43538309679448,38.05355874583733,36.499997025119114,24.98792179077796,117.29600861028929,40.16920666013993
4,MA,16.3,Tech,3.0,3.0,4.0,4.0,4.0,2.085221790039101,1.4361894058917546,1.2418536590657656,1.5736797074597333,1.1765054392281875,1.1256365896299445,45.63268236381128,15.337770652136669,16.526604303905035,28.133558948463957,31.671451468451323,20.883485055796513
5,PYPL,17.7,Tech,3.0,4.0,4.0,4.0,4.0,3.1613993742028064,1.8290683912194292,1.1388136580220856,1.2614577045941144,2.114672658674873,1.1688944397990697,57.26735033872625,11.923391600212048,4.816848157769858,7.857260806804834,41.88147903829777,18.16062717430424
6,INTC,16.9,Tech,5.0,4.0,4.0,4.0,5.0,1.22387418629788,1.2612022342036608,1.0017076165135603,1.2712403599492454,0.8188691579532331,1.1600563933161157,6.132907685853442,3.736200542298131,3.37103826778032,4.380719974916099,6.414799167234067,4.237278639136078
7,CSCO,12.5,Tech,4.0,4.0,4.0,4.0,5.0,1.189988351628929,1.2540929302195212,1.115028336348312,1.1166472231091602,0.9242049089688091,1.1626478997904346,5.252245860999111,2.0975605237980735,2.2882024389573483,4.410822742799102,3.6720480193186513,2.878822833266732
8,CRM,11.3,Tech,4.0,5.0,6.0,6.0,5.0,1.7475470272941511,1.4492486820258974,1.311847489862792,1.1998524214532604,1.332594715007698,1.0752122350680513,36.79496892397693,8.606412977962604,14.280839214948706,6.495073344446263,37.727903174761956,11.369410619714545
9,ACN,11.3,Tech,6.0,6.0,6.0,6.0,4.0,2.0646560678189645,1.3145285723971962,0.9166016501789614,1.4977595334602605,1.2429693030766629,1.1318334191885675,34.955119075934526,10.896387201639708,7.0089266598120314,16.517722391988677,27.30528578241067,13.97813750120145
10,IBM,18.0,Tech,4.0,5.0,5.0,5.0,5.0,1.2412117102366398,0.9176385903978512,0.7369205715977005,1.1634406245229971,0.9295524956098022,1.1537840663477843,10.283201157685232,12.134584104543089,13.654856414267165,6.169217685170016,10.536222828969493,6.844556766621911
11,AMAT,12.3,Tech,4.0,5.0,5.0,5.0,5.0,4.052867511847723,1.6005008790583932,0.6172700059076024,1.8231780689997616,1.3874598391191313,1.5619891579518237,24.73342887607552,6.961672823778721,8.690457291519971,7.378951787091976,10.660297658920392,14.163779610247039
12,MU,17.9,Tech,1.0,1.0,2.0,3.0,3.0,2.626870191734256,1.8235033402708385,0.7265857767953886,1.6421373673067747,1.357284728896852,1.1617825149739096,15.611538718015142,7.220558069843401,7.805656439060224,5.436982091681854,8.070610063340501,5.256289964343422
13,AMD,18.4,Tech,3.0,3.0,3.0,3.0,3.0,4.462028517445151,0.8993875291775942,1.6812386023754655,2.435475347645437,1.8678208133307748,0.9102924579097972,24.197313057618032,1.3562299252097234,6.182515149798114,5.966293819229316,17.114717549003384,5.7825386943524935
14,FIS,18.6,Tech,2.0,2.0,2.0,2.0,3.0,1.5225277749299284,1.2222654226399945,1.0944504417476577,1.371290504972947,1.0111509141203905,1.103780920832069,13.502002008756914,5.724835800115235,4.663244191984405,11.877673962777784,10.240816279173147,8.148376577369541
15,LRCX,14.7,Tech,4.0,4.0,4.0,5.0,5.0,4.613521140373243,1.7161104200840145,0.7194103922608401,2.11424430545425,1.5853837516877944,1.3347767927226153,130.10219688879698,30.068403521772503,24.548170221619415,40.20848038438407,69.99404533217653,50.29545350829733
16,ADP,12.6,Tech,4.0,3.0,4.0,4.0,6.0,1.4339941293409255,1.1322705549894323,1.1304422582297844,1.3101275610852805,1.0345231879472057,1.1045217075140592,15.862344313213955,6.0075351324442225,12.169977172720687,10.07175488171822,16.80171909916142,11.180790063111422
17,ADSK,15.3,Tech,4.0,5.0,5.0,5.0,5.0,2.3203318502475825,1.3760829799305263,1.2006161063551246,1.4226116405291684,1.6256188753729093,1.0080515249896345,52.53102420011283,14.29564254187908,11.61139397465204,13.2694226841453,38.791111863289316,16.35203246474464
18,GPN,18.5,Tech,2.0,2.0,1.0,2.0,2.0,2.1353523250398783,1.4218439413300643,1.0358577720205666,1.7892776609112082,1.1602305180879562,1.0513946232687328,25.531807531391685,8.74568918165899,6.673481141151593,20.70826729800851,17.921509902735163,10.082823421800212
