,Ticker,Sustainalytics Score,Sector,MSCI ESG 2017,MSCI ESG 2018,MSCI ESG 2019,MSCI ESG 2020,MSCI ESG 2021,index_x,2019-2021 Returns,index_y,2017 Returns,index_x,2018 Returns,index_y,2019 Returns,index_x,2020 Returns,index_y,2021 Returns
26,SNPS,14.4,Tech,2.0,2.0,2.0,2.0,4.0,SNPS,2.990719642953426,SNPS,1.4357419470659825,SNPS,0.9791932937239782,SNPS,1.6561569529334,SNPS,1.814516687158394,SNPS,0.9869257877072869
27,GLW,20.0,Tech,5.0,4.0,4.0,4.0,3.0,GLW,1.4846051491392833,GLW,1.3164609372632985,GLW,0.9261189476908158,GLW,0.974230302140501,GLW,1.2004001425391726,GLW,1.2703322719472916
28,PAYX,15.9,Tech,2.0,3.0,3.0,3.0,3.0,PAYX,1.50376515956714,PAYX,1.1149688879770379,PAYX,0.9679097294449528,PAYX,1.3072075911713823,PAYX,1.0948184659493787,PAYX,1.0828906353826593
29,XLNX,18.8,Tech,2.0,2.0,3.0,3.0,3.0,XLNX,1.5143351362481632,XLNX,1.141357686088709,XLNX,1.2547142253258818,XLNX,1.1257340053057014,XLNX,1.3946876748090156,XLNX,0.9234010463782363
30,FTNT,19.5,Tech,4.0,4.0,4.0,3.0,3.0,FTNT,2.841704845574289,FTNT,1.450531122489204,FTNT,1.58804966693004,FTNT,1.532146981467513,FTNT,1.3542122389316567,FTNT,1.3603324940090697
31,MXIM,21.9,Tech,2.0,3.0,4.0,4.0,4.0,MXIM,1.860346214539504,MXIM,1.3537027505232369,MXIM,0.9599772947380368,MXIM,1.2098740782242539,MXIM,1.41999040673606,MXIM,1.080914306640625
32,VRSN,22.2,Tech,1.0,2.0,2.0,3.0,3.0,VRSN,1.476380630796463,VRSN,1.480274298995695,VRSN,1.3546176270443668,VRSN,1.304006495931936,VRSN,1.0999847435374688,VRSN,1.0213970972293773
33,WDC,12.1,Tech,1.0,1.0,1.0,2.0,3.0,WDC,1.8452692517340372,WDC,1.1454702351969912,WDC,0.45428855331093515,WDC,1.6589128072434185,WDC,0.8441023631705585,WDC,1.351713557206327
34,HPE,11.7,Tech,5.0,5.0,6.0,5.0,5.0,HPE,1.1998513798484083,HPE,1.06496554247849,HPE,0.9041752463087548,HPE,1.1783060632784872,HPE,0.7328386101149399,HPE,1.3958513435186082
35,TRMB,12.9,Tech,4.0,4.0,5.0,5.0,5.0,TRMB,2.5703725268497344,TRMB,1.3425833754563112,TRMB,0.8015099548637528,TRMB,1.2839543288999669,TRMB,1.5920362143394238,TRMB,1.259013394656984
