ticker,market_cap
IDEX,1053318778.0
IDN,145031305.0
IEC,121575792.0
IGC,64928281.0
III,234017099.0
IIIV,1001377005.0
IMMR,238448942.0
IMOS,1191946557.0
IMXI,554163262.0
INFO,46272870244.0
INFY,77815842304.0
INOD,165359620.0
INOV,4720447428.0
INPX,106111658.0
INS,325806374.0
INSW,577188076.0
INTC,227137500000.0
INTT,134093344.0
INTU,108514528851.0
INUV,83672440.0
INVE,323120255.0
IPDN,20466833.0
IPG,13168249817.0
IPGP,10237977823.0
IQ,10390935814.0
ISDR,104317508.0
ISIG,9576828.0
ISUN,84559555.0
ITRN,478706038.0
IZEA,190987930.0
JAMF,3691360494.0
JBL,8075265452.0
JCOM,5473469157.0
JG,338411389.0
JKHY,12037706274.0
JKS,1500455864.0
JNPR,8852260641.0
JOB,53378741.0
JOBS,4791109961.0
JT,59307847.0
KAI,2135405743.0
KARO,1207693585.0
KBNT,75610630.0
KBNTW,0.0
KC,8805676636.0
KELYA,1042889369.0
KELYB,1043085807.0
KFRC,1337590476.0
KFY,3600631289.0
KLIC,3015389644.0
KLR,368310434.0
KNBE,3105591317.0
KTCC,76985510.0
KVHI,255653497.0
LASR,1123101998.0
LAZR,6844836014.0
LDL,697875676.0
LDOS,14904270557.0
LEAF,305098186.0
LEDS,40253604.0
LFUS,6358858935.0
LINX,1256206544.0
LITE,6129429000.0
LIZI,255991372.0
LOGI,18387539750.0
LPSN,3467061942.0
LRCX,85893927322.0
LSCC,6529740440.0
LYFT,16147938912.0
MAN,6785853601.0
MANH,8295385788.0
MANT,3440989938.0
MCFE,9697140437.0
MCHP,39314946518.0
MCO,63256752000.0
MDB,15464870435.0
MDLA,3946580768.0
MDRX,2261465959.0
MFC,42004873373.0
MFGP,2301861873.0
MFH,55469853.0
MGIC,787993334.0
MGNI,3870318554.0
MGRC,2002249606.0
MICT,175834046.0
MIME,2751717837.0
MITK,663438686.0
MIXT,284827253.0
MNDO,61754204.0
MODN,1290166205.0
MOMO,2896130251.0
MORN,11173686117.0
MOSY,20670633.0
MPWR,14966518510.0
MRAM,97245387.0
MRIN,16670339.0
MRVL,30156491000.0
MSCI,40059054895.0
MSFT,1883571479460.0
MSI,34258884446.0
MSP,4046270342.0
MSTR,5722855849.0
MTLS,1357481580.0
MTSI,3685478543.0
MU,91585896725.0
MX,1107137424.0
MXIM,25271805297.0
MXL,2591119163.0
MYSZ,13875073.0
NATI,5206374344.0
NCMI,343581841.0
NCNO,5178887412.0
NCTY,252823651.0
NET,20877262819.0
NETE,49986045.0
NEWR,3692522556.0
NICE,14462068955.0
NLOK,12327565228.0
NNDM,1581266956.0
NOK,28343681585.0
NOW,93685120872.0
NPTN,457861183.0
NSIT,3541141191.0
NSP,3449809197.0
NTAP,17507580212.0
NTCT,1962283747.0
NTNX,5761760469.0
NTWK,46923853.0
NUAN,15064723826.0
NVDA,357434910095.0
NVEC,375759622.0
NXPI,53084021666.0
OBLG,117119411.0
OCFT,5245413288.0
OIIM,187395514.0
OKTA,34904223074.0
OLB,31674806.0
OLED,9893374049.0
OLO,4067250201.0
OMC,18462533383.0
ON,16055504560.0
ONEM,5374892186.0
ONTF,1838628601.0
ONTO,3085329768.0
OPRA,1209031593.0
ORCL,230365611150.0
ORPH,210762013.0
OSPN,1010250506.0
OSS,90699375.0
PAGS,13890528369.0
PANW,33368799219.0
PAR,1867657459.0
PATH,33147965724.0
PAYA,1238467984.0
PAYAW,0.0
PAYC,19210562824.0
PBTS,12320947.0
PCTI,121203681.0
PCTY,8917234976.0
PCYG,95141573.0
PD,2986357380.0
PDFS,670644732.0
PEGA,9650477981.0
PERI,543656278.0
PFPT,9842988863.0
PHUN,89634366.0
PING,1912291032.0
PIXY,49149418.0
PLAB,826537323.0
PLAN,7797389773.0
PLTK,10838127608.0
PLTR,34395594339.0
PLUS,1391385390.0
PLXS,2738654040.0
POWI,4782661495.0
PRAA,1827846272.0
PRCH,1175957249.0
PRFT,2258418790.0
PRG,3781685430.0
PRGS,1954175673.0
PRO,1717453341.0
PRTH,432443686.0
PRVA,3228936905.0
PSTG,5111966552.0
PT,35882117.0
PTC,15272923144.0
PUBM,1869542824.0
PXLW,165513375.0
QADA,1420996461.0
QADB,1016920657.0
QCOM,148264320000.0
QD,470971828.0
QLYS,3938762234.0
QMCO,515635184.0
QNST,958809383.0
QTT,554859081.0
QTWO,5287462746.0
QUIK,67847146.0
QUMU,93756001.0
QUOT,1180529992.0
RAAS,1454592239.0
RAMP,3201424622.0
RBBN,969456895.0
RBCN,25784904.0
RBLX,36305389843.0
RCAT,120495347.0
RCII,4038174678.0
RDCM,133859098.0
RDVT,229023525.0
RDWR,1255398296.0
REKR,632465395.0
RELL,99717788.0
RENN,215755554.0
RESN,165112737.0
RHI,10161531339.0
RIOT,2600072219.0
RMBS,2117149426.0
RMNI,653282836.0
RNG,22939956138.0
RNWK,111040307.0
ROL,18415261969.0
RPAY,1666166843.0
RPD,4192485523.0
RSSS,58993389.0
RXN,6241058858.0
RXT,4882275788.0
SABR,4106703280.0
SABRP,
SAIC,5280286538.0
SAIL,4147428021.0
SANM,2721072507.0
SAP,165235473947.0
SATS,2584812130.0
SCKT,35609300.0
SCPL,389891749.0
SCSC,805293876.0
SCWX,1085607561.0
SDGR,4528310234.0
SE,115040908680.0
SEAC,49585111.0
SEDG,11149673470.0
SEMR,2593080384.0
SFET,32649849.0
SFUN,104820726.0
SGFY,5819754155.0
SGH,1078986396.0
SGLB,20054617.0
SGMA,21159815.0
SHLS,4726787291.0
SHSP,194438918.0
SILC,284555359.0
SIMO,2332840375.0
SITM,1576320878.0
SJ,265498429.0
SKLZ,5756434564.0
SKYT,743502208.0
SLAB,5868824268.0
SLF,32053451345.0
SLP,1132376107.0
SMAR,6395614987.0
SMCI,1797237094.0
SMSI,264392634.0
SMTC,4006091205.0
SNAP,77667561341.0
SNCR,136049337.0
SNOW,57041346000.0
SNPS,35841215166.0
SNX,6352930686.0
SOGO,3271267331.0
SOHU,682357767.0
SOL,544044549.0
SPCB,21678220.0
SPGI,95201271000.0
SPI,142223861.0
SPLK,18786523806.0
SPNS,1410436357.0
SPRT,70099313.0
SPSC,3459723869.0
SPT,3135518779.0
SPWR,3851038150.0
SQ,99829372332.0
SQNS,183552163.0
SRAX,93670491.0
SREV,138234906.0
SRNGW,0.0
SSNC,18897264824.0
SSNT,33624494.0
SSPK,476540769.0
SSPKU,0.0
SSTI,358678149.0
SSYS,1237837640.0
STAF,22497254.0
STM,32812082058.0
STMP,3309492122.0
STNE,19031140115.0
STRM,86327580.0
STX,20623778920.0
SUMO,1740252269.0
SUNW,142176219.0
SVMK,2695755215.0
SWCH,4397043069.0
SWI,5237553830.0
SWKS,27502352175.0
SY,803019645.0
SYKE,1696161252.0
SYNA,4374812265.0
SYX,1312624645.0
TACT,113414094.0
TAIT,26561885.0
TAOP,77050989.0
TBI,999404976.0
TCX,849169763.0
TDC,4384225425.0
TEAM,53800789816.0
TENB,3971809151.0
TGH,1359020675.0
TLND,2110669423.0
TLS,2080262215.0
TNET,5336413650.0
TPIC,1720903456.0
TRIT,480065123.0
TRITW,0.0
TRKA,91235650.0
TRKAW,0.0
TRNS,364844053.0
TRS,1456340539.0
TRT,18701197.0
TRTN,3540385546.0
TRU,20446087463.0
TRVG,1253470769.0
TSEM,2980754119.0
TSM,587426838828.0
TSQ,183877338.0
TSRI,17069939.0
TTD,25084713041.0
TTEC,4660734644.0
TTMI,1603058874.0
TTWO,19538736546.0
TUFN,315645240.0
TUYA,9459945369.0
TWTR,41534509877.0
TXN,170907263166.0
TYL,16209143400.0
TZOO,201293323.0
U,23265253024.0
UBER,85655988515.0
UCTT,2132186849.0
UEPS,263823845.0
UI,17877377473.0
UIS,1618184180.0
ULBI,123655048.0
UMC,22848035000.0
UPLD,1276528998.0
URI,25383014399.0
USIO,136588080.0
VALU,284257612.0
VECO,1094231789.0
VERB,64949903.0
VERI,617300160.0
VERX,2509922007.0
VIAO,317149070.0
VIAV,3737447824.0
VMW,68589701349.0
VNET,3520156350.0
VOLT,84990008.0
VRNS,4884061388.0
VRNT,3079466486.0
VRSN,25034033941.0
VSAT,3282518024.0
WB,10114599017.0
WDAY,57173541328.0
WDC,21175802843.0
WEX,8758030821.0
WFCF,86316906.0
WIMI,429204803.0
WISA,31049804.0
WIT,41786129399.0
WK,4301975525.0
WKEY,149833520.0
WORK,23864968368.0
WPP,16919169812.0
WSC,6486634908.0
WSTG,108045858.0
WTRH,239435817.0
WYY,70847251.0
XELA,94115299.0
XLNX,29468975240.0
XM,17662343876.0
XNET,299848174.0
XPER,2160046910.0
XRX,4733421478.0
YALA,2724597361.0
YELP,2984167721.0
YEXT,1602813755.0
YNDX,22261232368.0
YY,6561823751.0
ZBRA,26053426056.0
ZDGE,150337198.0
ZEN,15721091743.0
ZEPP,577284310.0
ZI,16006613039.0
ZIXI,395411995.0
ZNGA,11506613843.0
ZS,22465482906.0
ZUO,1818630000.0
