ticker,c_name,last_sale,market_cap,ipo_year,sector,industry
BEEM,Beam Global Common Stock,$31.12,275911787.0,,Technology,Semiconductors
BGSF,BGSF Inc. Common Stock,$13.12,135607940.0,,Technology,Diversified Commercial Services
BHE,Benchmark Electronics Inc. Common Stock,$30.82,1116586132.0,,Technology,Electrical Products
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,$48.43,3543631382.0,2020.0,Technology,Computer Software: Prepackaged Software
BKTI,BK Technologies Corporation Common Stock,$4.61,57793131.0,,Technology,Radio And Television Broadcasting And Communications Equipment
BL,BlackLine Inc. Common Stock,$107.47,6237366751.0,2016.0,Technology,Computer Software: Prepackaged Software
BLIN,Bridgeline Digital Inc. Common Stock,$2.39,12769617.0,,Technology,EDP Services
BLKB,Blackbaud Inc. Common Stock,$67.03,3272336967.0,2004.0,Technology,Computer Software: Prepackaged Software
BMBL,Bumble Inc. Class A Common Stock,$57.99,6688771073.0,2021.0,Technology,Computer Software: Prepackaged Software
BNFT,Benefitfocus Inc. Common Stock,$13.71,450155552.0,2013.0,Technology,Computer Software: Prepackaged Software
BOMN,Boston Omaha Corporation Class A Common Stock,$27.96,826948175.0,,Technology,Advertising
BOX,Box Inc. Class A Common Stock,$21.16,3442113747.0,2015.0,Technology,Computer Software: Prepackaged Software
BRKS,Brooks Automation Inc.,$99.17,7360409400.0,1995.0,Technology,Industrial Machinery/Components
BSQR,BSQUARE Corporation Common Stock,$2.50,33517573.0,1999.0,Technology,Computer Software: Prepackaged Software
BSY,Bentley Systems Incorporated Class B Common Stock,$48.47,13358323518.0,2020.0,Technology,Retail: Computer Software & Peripheral Equipment
BTRS,BTRS Holdings Inc. Class 1 Common Stock,$14.70,2299519530.0,2019.0,Technology,EDP Services
CACI,CACI International Inc. Class A Common Stock,$264.31,6224692389.0,,Technology,EDP Services
CAI,CAI International Inc. Common Stock,$44.35,767437323.0,,Technology,Diversified Commercial Services
CALX,Calix Inc Common Stock,$48.00,3016968912.0,2010.0,Technology,Computer Software: Prepackaged Software
CASA,Casa Systems Inc. Common Stock,$8.47,717977888.0,2017.0,Technology,Radio And Television Broadcasting And Communications Equipment
CCMP,CMC Materials Inc. Common Stock,$166.49,4855970043.0,2000.0,Technology,Semiconductors
CCO,Clear Channel Outdoor Holdings Inc. Common Stock,$2.56,1197719204.0,2005.0,Technology,Advertising
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,$16.90,633961977.0,2001.0,Technology,Professional Services
CDAY,Ceridian HCM Holding Inc. Common Stock,$87.40,12828202385.0,2018.0,Technology,EDP Services
CDK,CDK Global Inc. Common Stock,$53.43,6505413623.0,,Technology,Retail: Computer Software & Peripheral Equipment
CDLX,Cardlytics Inc. Common Stock,$100.69,3310292193.0,2018.0,Technology,EDP Services
CDNS,Cadence Design Systems Inc. Common Stock,$129.05,35910098250.0,,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$174.87,24573413169.0,2013.0,Technology,EDP Services
CETX,Cemtrex Inc. Common Stock,$1.39,24975766.0,,Technology,EDP Services
CETXP,Cemtrex Inc. Series 1 Preferred Stock,$2.4168,0.0,,Technology,EDP Services
CEVA,CEVA Inc. Common Stock,$52.16,1189826454.0,,Technology,Semiconductors
CLGX,CoreLogic Inc. Common Stock,$79.50,5852669319.0,,Technology,EDP Services
CLIR,ClearSign Technologies Corporation Common Stock,$4.42,136580802.0,2012.0,Technology,Industrial Machinery/Components
CLRO,ClearOne Inc. (DE) Common Stock,$2.37,44498582.0,,Technology,Radio And Television Broadcasting And Communications Equipment
CLSK,CleanSpark Inc. Common Stock,$19.30,462506995.0,,Technology,Computer Software: Prepackaged Software
CMTL,Comtech Telecommunications Corp. Common Stock,$23.84,621119827.0,,Technology,Radio And Television Broadcasting And Communications Equipment
CNDT,Conduent Incorporated Common Stock ,$7.52,1597162422.0,,Technology,Retail: Computer Software & Peripheral Equipment
CNXC,Concentrix Corporation Common Stock,$157.99,8223834511.0,,Technology,Computer Software: Prepackaged Software
CNXN,PC Connection Inc. Common Stock,$47.02,1230741165.0,,Technology,Retail: Computer Software & Peripheral Equipment
COIN,Coinbase Global Inc. Class A Common Stock,$263.70,52529040000.0,,Technology,EDP Services
COMM,CommScope Holding Company Inc. Common Stock,$18.38,3738450094.0,2013.0,Technology,Radio And Television Broadcasting And Communications Equipment
COUP,Coupa Software Incorporated Common Stock,$237.84,17457677905.0,2016.0,Technology,Computer Software: Prepackaged Software
CPSI,Computer Programs and Systems Inc. Common Stock,$31.21,457443940.0,2002.0,Technology,EDP Services
CREE,Cree Inc. Common Stock,$95.68,11048243369.0,1993.0,Technology,Semiconductors
CREX,Creative Realities Inc. Common Stock,$1.23,14444710.0,,Technology,EDP Services
CRM,Salesforce.com Inc Common Stock,$216.50,199663388860.0,2004.0,Technology,Computer Software: Prepackaged Software
CRNC,Cerence Inc. Common Stock,$89.42,3372270349.0,,Technology,EDP Services
CRSR,Corsair Gaming Inc. Common Stock,$33.69,3105794955.0,2020.0,Technology,Computer Manufacturing
CRUS,Cirrus Logic Inc. Common Stock,$76.60,4446250294.0,1989.0,Technology,Semiconductors
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$189.18,42352905002.0,2019.0,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$53.43,225570001776.0,1990.0,Technology,Computer peripheral equipment
CSGS,CSG Systems International Inc. Common Stock,$45.49,1499648814.0,1996.0,Technology,EDP Services
CSOD,Cornerstone OnDemand Inc. Common Stock,$42.25,2796071242.0,2011.0,Technology,Computer Software: Prepackaged Software
CSPI,CSP Inc. Common Stock,$8.65,37834806.0,1982.0,Technology,EDP Services
CTEK,CynergisTek Inc. Common Stock,$1.82,22059670.0,2017.0,Technology,Retail: Computer Software & Peripheral Equipment
CTG,Computer Task Group Inc. Common Stock,$10.11,153599663.0,,Technology,EDP Services
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$74.815,39542138563.0,1998.0,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$121.03,15027582838.0,1995.0,Technology,Computer Software: Prepackaged Software
CUEN,Cuentas Inc. Common Stock,$2.8438,39300181.0,,Technology,Computer Software: Prepackaged Software
CVLT,Commvault Systems Inc. Common Stock,$68.15,3202887530.0,2006.0,Technology,Computer Software: Prepackaged Software
CVV,CVD Equipment Corporation Common Stock,$5.11,34143901.0,,Technology,Industrial Machinery/Components
CXDO,Crexendo Inc. Common Stock,$5.375,99032284.0,,Technology,EDP Services
CYRN,CYREN Ltd. Ordinary Shares,$0.6079,45556351.0,,Technology,Computer Software: Prepackaged Software
DBD,Diebold Nixdorf Incorporated Common Stock,$13.69,1070262159.0,,Technology,EDP Services
DBX,Dropbox Inc. Class A Common Stock,$24.70,9950612854.0,2018.0,Technology,Computer Software: Prepackaged Software
DCT,Duck Creek Technologies Inc. Common Stock,$38.57,5075385493.0,2020.0,Technology,Retail: Computer Software & Peripheral Equipment
DDD,3D Systems Corporation Common Stock,$19.21,2399267951.0,,Technology,Computer peripheral equipment
DDOG,Datadog Inc. Class A Common Stock,$77.29,23831923914.0,2019.0,Technology,EDP Services
DGII,Digi International Inc. Common Stock,$17.87,593450298.0,1989.0,Technology,Computer peripheral equipment
DHX,DHI Group Inc. Common Stock,$3.10,162245760.0,2007.0,Technology,Diversified Commercial Services
DIOD,Diodes Incorporated Common Stock,$74.56,3325375404.0,,Technology,Semiconductors
DLB,Dolby Laboratories Common Stock,$96.64,9819876744.0,2005.0,Technology,EDP Services
DLX,Deluxe Corporation Common Stock,$46.64,1963556826.0,,Technology,Advertising
DMRC,Digimarc Corporation Common Stock,$30.61,517762977.0,,Technology,EDP Services
DMS,Digital Media Solutions Inc. Class A Ordinary Shares,$11.42,699830881.0,2018.0,Technology,Advertising
DNB,Dun & Bradstreet Holdings Inc. Common Stock,$22.58,9741881940.0,2020.0,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,$195.28,37992918332.0,2018.0,Technology,EDP Services
DOMO,Domo Inc. Class B Common Stock,$60.45,1914379927.0,2018.0,Technology,Computer Software: Prepackaged Software
DSP,Viant Technology Inc. Class A Common Stock,$32.91,1939569247.0,2021.0,Technology,EDP Services
DSPG,DSP Group Inc. Common Stock,$14.46,350319268.0,1994.0,Technology,Semiconductors
DSS,Document Security Systems Inc. Common Stock,$2.83,78306454.0,,Technology,EDP Services
DT,Dynatrace Inc. Common Stock,$46.78,13219738104.0,2019.0,Technology,EDP Services
DUOT,Duos Technologies Group Inc. Common Stock,$10.13,35799572.0,,Technology,Computer Software: Prepackaged Software
EA,Electronic Arts Inc. Common Stock,$142.42,40963698765.0,,Technology,Computer Software: Prepackaged Software
EB,Eventbrite Inc. Class A Common Stock,$22.07,2065421480.0,2018.0,Technology,EDP Services
EBIX,Ebix Inc. Common Stock,$30.43,941591565.0,,Technology,EDP Services
ECOM          ,ChannelAdvisor Corporation Common Stock,$23.16,688213342.0,2013.0,Technology,Computer Software: Prepackaged Software
EEFT,Euronet Worldwide Inc. Common Stock,$141.75,7482387575.0,1997.0,Technology,EDP Services
EEX,Emerald Holding Inc. Common Stock,$5.05,364981549.0,2017.0,Technology,Advertising
EFX,Equifax Inc. Common Stock,$239.56,29155057129.0,,Technology,Advertising
EGAN,eGain Corporation Common Stock,$9.34,290053849.0,1999.0,Technology,Computer Software: Prepackaged Software
EGHT,8x8 Inc Common Stock,$28.96,3112805391.0,,Technology,EDP Services
EMKR,EMCORE Corporation Common Stock,$7.28,268181215.0,1997.0,Technology,Semiconductors
ENTG,Entegris Inc. Common Stock,$114.71,15543318792.0,2000.0,Technology,Semiconductors
ENV,Envestnet Inc Common Stock,$68.59,3732043974.0,2010.0,Technology,EDP Services
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,$11.46,593642428.0,,Technology,Electronic Components
EOSEW,Eos Energy Enterprises Inc. Warrant,$3.86,0.0,,Technology,Electronic Components
EPAM,EPAM Systems Inc. Common Stock,$460.20,25952299745.0,2012.0,Technology,EDP Services
EPAY,Bottomline Technologies Inc. Common Stock,$38.68,1741366289.0,1999.0,Technology,EDP Services
ERII,Energy Recovery Inc. Common Stock,$20.65,1185774315.0,2008.0,Technology,Industrial Machinery/Components
