ticker,market_cap,ipo_year
KARO,1207693585.0,2021
KBNT,75610630.0,2020
KBNTW,0.0,2020
KC,8805676636.0,2020
KFRC,1337590476.0,1995
KFY,3600631289.0,1999
KLR,368310434.0,2018
KNBE,3105591317.0,2021
KTCC,76985510.0,1983
KVHI,255653497.0,1996
LASR,1123101998.0,2018
LAZR,6844836014.0,2019
LEDS,40253604.0,2010
LINX,1256206544.0,2019
LIZI,255991372.0,2020
LOGI,18387539750.0,1997
LPSN,3467061942.0,2000
LRCX,85893927322.0,1984
LYFT,16147938912.0,2019
MANH,8295385788.0,1998
MANT,3440989938.0,2002
MCFE,9697140437.0,2020
MCHP,39314946518.0,1993
MDB,15464870435.0,2017
MDLA,3946580768.0,2019
MFGP,2301861873.0,2017
MFH,55469853.0,2015
MGIC,787993334.0,1991
MGRC,2002249606.0,1984
MIME,2751717837.0,2015
MIXT,284827253.0,2013
MODN,1290166205.0,2013
MOMO,2896130251.0,2014
MORN,11173686117.0,2005
MOSY,20670633.0,2001
MPWR,14966518510.0,2004
MRAM,97245387.0,2016
MRVL,30156491000.0,2000
MSFT,1883571479460.0,1986
MSP,4046270342.0,2020
MSTR,5722855849.0,1998
MTLS,1357481580.0,2014
MTSI,3685478543.0,2012
MX,1107137424.0,2011
MXIM,25271805297.0,1988
MXL,2591119163.0,2010
NATI,5206374344.0,1995
NCMI,343581841.0,2007
NCNO,5178887412.0,2020
NCTY,252823651.0,2004
NET,20877262819.0,2019
NEWR,3692522556.0,2014
NOK,28343681585.0,1994
NOW,93685120872.0,2012
NPTN,457861183.0,2011
NSIT,3541141191.0,1995
NTAP,17507580212.0,1995
NTCT,1962283747.0,1999
NTNX,5761760469.0,2016
NVDA,357434910095.0,1999
NXPI,53084021666.0,2010
OCFT,5245413288.0,2019
OKTA,34904223074.0,2017
OLO,4067250201.0,2021
ONEM,5374892186.0,2020
ONTF,1838628601.0,2021
OPRA,1209031593.0,2018
ORCL,230365611150.0,1986
ORPH,210762013.0,2020
OSS,90699375.0,2018
PAGS,13890528369.0,2018
PANW,33368799219.0,2012
PATH,33147965724.0,2021
PAYC,19210562824.0,2014
PBTS,12320947.0,2019
PCTI,121203681.0,1999
PCTY,8917234976.0,2014
PD,2986357380.0,2019
PDFS,670644732.0,2001
PEGA,9650477981.0,1996
PFPT,9842988863.0,2012
PHUN,89634366.0,2016
PING,1912291032.0,2019
PIXY,49149418.0,2017
PLAB,826537323.0,1987
PLAN,7797389773.0,2018
PLTK,10838127608.0,2021
PLTR,34395594339.0,2020
PLUS,1391385390.0,1996
POWI,4782661495.0,1997
PRAA,1827846272.0,2002
PRCH,1175957249.0,2020
PRFT,2258418790.0,1999
PRGS,1954175673.0,1991
PRO,1717453341.0,2007
PRTH,432443686.0,2016
PRVA,3228936905.0,2021
PSTG,5111966552.0,2015
PT,35882117.0,2018
PUBM,1869542824.0,2020
PXLW,165513375.0,2000
QCOM,148264320000.0,1991
QD,470971828.0,2017
QLYS,3938762234.0,2012
QNST,958809383.0,2010
QTT,554859081.0,2018
QTWO,5287462746.0,2014
QUIK,67847146.0,1999
QUOT,1180529992.0,2014
RAAS,1454592239.0,2021
RAMP,3201424622.0,2018
RBCN,25784904.0,2007
RBLX,36305389843.0,2021
RCII,4038174678.0,1995
RDCM,133859098.0,1997
RDWR,1255398296.0,1999
RELL,99717788.0,1983
RENN,215755554.0,2011
RESN,165112737.0,2014
RMBS,2117149426.0,1997
RMNI,653282836.0,2015
RNG,22939956138.0,2013
RNWK,111040307.0,1997
RPAY,1666166843.0,2018
RPD,4192485523.0,2015
RXN,6241058858.0,2012
RXT,4882275788.0,2020
SABR,4106703280.0,2014
SAIL,4147428021.0,2017
SANM,2721072507.0,1993
SCPL,389891749.0,2019
SCWX,1085607561.0,2016
SDGR,4528310234.0,2020
SE,115040908680.0,2017
SEAC,49585111.0,1996
SEDG,11149673470.0,2015
SEMR,2593080384.0,2021
SFET,32649849.0,2018
SFUN,104820726.0,2010
SGFY,5819754155.0,2021
SGH,1078986396.0,2017
SGMA,21159815.0,1994
SHLS,4726787291.0,2021
SIMO,2332840375.0,2005
SITM,1576320878.0,2019
SJ,265498429.0,2019
SKLZ,5756434564.0,2020
SKYT,743502208.0,2021
SLAB,5868824268.0,2000
SMAR,6395614987.0,2018
SMCI,1797237094.0,2020
SMSI,264392634.0,1995
SNAP,77667561341.0,2017
SNCR,136049337.0,2018
SNOW,57041346000.0,2020
SNPS,35841215166.0,1992
SNX,6352930686.0,2003
SOGO,3271267331.0,2017
SOL,544044549.0,2008
SPLK,18786523806.0,2012
SPNS,1410436357.0,1992
SPRT,70099313.0,2000
SPSC,3459723869.0,2010
SPT,3135518779.0,2019
SPWR,3851038150.0,2005
SQ,99829372332.0,2015
SQNS,183552163.0,2011
SREV,138234906.0,2011
SRNGW,0.0,2021
SSNC,18897264824.0,2010
SSPK,476540769.0,2019
SSPKU,0.0,2019
SSTI,358678149.0,2017
SSYS,1237837640.0,1994
STMP,3309492122.0,1999
STNE,19031140115.0,2018
STX,20623778920.0,2002
SUMO,1740252269.0,2020
SVMK,2695755215.0,2018
SWCH,4397043069.0,2017
SWI,5237553830.0,2018
SY,803019645.0,2019
SYKE,1696161252.0,1996
SYNA,4374812265.0,2002
TACT,113414094.0,1996
TAIT,26561885.0,1995
TEAM,53800789816.0,2015
TENB,3971809151.0,2018
TGH,1359020675.0,2007
TLND,2110669423.0,2016
TLS,2080262215.0,2020
TNET,5336413650.0,2014
TPIC,1720903456.0,2016
TRKA,91235650.0,2021
TRKAW,0.0,2021
TRS,1456340539.0,2007
TRTN,3540385546.0,2016
TRU,20446087463.0,2015
TRVG,1253470769.0,2016
TSEM,2980754119.0,1994
TSM,587426838828.0,1997
TSQ,183877338.0,2014
TTD,25084713041.0,2016
TTEC,4660734644.0,1996
TTMI,1603058874.0,2000
TTWO,19538736546.0,1997
TUFN,315645240.0,2019
TUYA,9459945369.0,2021
TWTR,41534509877.0,2013
U,23265253024.0,2020
UBER,85655988515.0,2019
