ticker,company_name,market_cap,ipo_year
AAPL,Apple,2209643983000,1980
MSFT,Microsoft,1868960224831,1986
AMZN,Amazon,1625384968754,1997
GOOG,Google,1552206570795,2004
FB,Facebook,895836759654,2012
