Name,Ticker,Sustainalytics Score,Sector,MSCI ESG 2017,MSCI ESG 2018,MSCI ESG 2019,MSCI ESG 2020,MSCI ESG 2021
Discovery Comm Inc,DISCK,14.2,Communication Services,BBB,BBB,BBB,BBB,BBB
Dish Network Corp,DISH,22.5,Communication Services,B,CCC,CCC,CCC,CCC
Electronic Arts Inc,EA,12.7,Communication Services,BB,BB,BBB,A,A
Facebook Inc,FB,24.8,Communication Services,BBB,BB,BBB,BBB,B
Fox Corp Cl A,FOXA,17,Communication Services,null,null,B,B,BB
Alphabet Cl A,GOOGL,22.3,Communication Services,A,A,AA,AA,BBB
Interpublic Group of Companies,IPG,15.5,Communication Services,BB,BB,BBB,BB,A
Centurylink,LUMN,25.8,Communication Services,BBB,BBB,BB,BB,BB
Live Nation Entertainment,LYV,15.4,Communication Services,BB,BB,BB,BB,BB
Netflix Inc,NFLX,17.4,Communication Services,BB,BB,B,B,BB
News Cp Cl A,NWSA,13.4,Communication Services,CCC,CCC,CCC,CCC,CCC
Omnicom Group Inc,OMC,18.5,Communication Services,B,BB,BBB,BBB,BBB
AT&T Inc,T,19.1,Communication Services,BB,BBB,BB,BB,BB
T-Mobile US,TMUS,26.7,Communication Services,BB,B,B,BB,BB
Take-Two Interacti,TTWO,17.3,Communication Services,BBB,BBB,BBB,BBB,BBB
Twitter Inc,TWTR,24.9,Communication Services,B,B,BB,BB,BB
Viacom CBS Cl B,VIAC,16.1,Communication Services,B,B,B,BB,BBB
Verizon Communications Inc,VZ,18.1,Communication Services,BB,BBB,BB,BBB,BBB
